u0	i4249	1
u0	i12634	0
u1	i490	1
u1	i7267	0
u2	i12944	1
u2	i5	1
u2	i1676	1
u2	i260	1
u2	i10118	0
u2	i3742	0
u2	i3114	0
u2	i10975	0
u3	i8289	1
u3	i1698	1
u3	i213	1
u3	i3295	1
u3	i5004	0
u3	i14121	0
u3	i1544	0
u3	i8102	0
u4	i659	1
u4	i10714	0
u5	i5	1
u5	i3446	0
u6	i5	1
u6	i6594	0
u7	i140	1
u7	i5724	1
u7	i4262	1
u7	i12647	0
u7	i8780	0
u7	i1625	0
u8	i5311	1
u8	i5343	1
u8	i4168	1
u8	i777	1
u8	i4172	1
u8	i8205	1
u8	i10931	1
u8	i8343	1
u8	i9882	1
u8	i831	1
u8	i11455	0
u8	i8798	0
u8	i6820	0
u8	i7948	0
u8	i9679	0
u8	i5298	0
u8	i14747	0
u8	i3607	0
u8	i8643	0
u8	i2528	0
u9	i288	1
u9	i5	1
u9	i399	1
u9	i8502	0
u9	i14711	0
u9	i14049	0
u10	i1024	1
u10	i3412	0
u11	i5344	1
u11	i920	0
u12	i633	1
u12	i9922	0
u13	i1388	1
u13	i7398	0
u14	i2529	1
u14	i673	1
u14	i5	1
u14	i6221	1
u14	i1489	1
u14	i539	1
u14	i3594	0
u14	i10997	0
u14	i13765	0
u14	i8521	0
u14	i4953	0
u14	i5439	0
u15	i6056	1
u15	i9316	0
u16	i10049	1
u16	i4382	0
u17	i942	1
u17	i2070	1
u17	i601	1
u17	i5085	1
u17	i799	1
u17	i14390	0
u17	i3024	0
u17	i8328	0
u17	i1090	0
u17	i6417	0
u18	i9	1
u18	i1402	1
u18	i11491	1
u18	i6045	1
u18	i12004	0
u18	i9172	0
u18	i3603	0
u18	i12254	0
u19	i3063	1
u19	i13135	0
u20	i8	1
u20	i3717	0
u21	i3003	1
u21	i973	0
u22	i2683	1
u22	i14340	0
u23	i5	1
u23	i1759	1
u23	i7019	0
u23	i4133	0
u24	i2238	1
u24	i9776	0
u25	i7301	1
u25	i5	1
u25	i10890	1
u25	i1165	1
